0: SUCCESS | Shard: shards/shard_0.db | Value: 1176617618.0
1: SUCCESS | Shard: shards/shard_0.db | Value: 1890408184.0
2: SUCCESS | Shard: shards/shard_3.db | Value: 6008.7697
3: SUCCESS | Shard: shards/shard_0.db | Value: 3258349822.0
4: SUCCESS | Shard: shards/shard_2.db | Value: 6220.6059
5: SUCCESS | Shard: shards/shard_3.db | Value: 5714.7666
6: SUCCESS | Shard: shards/shard_0.db | Value: 4105319532.0
7: SUCCESS | Shard: shards/shard_1.db | Value: 1974203844.0
8: SUCCESS | Shard: shards/shard_1.db | Value: 1510466719.0
9: SUCCESS | Shard: shards/shard_1.db | Value: 2223414373.0
10: SUCCESS | Shard: shards/shard_3.db | Value: 2330.1691
11: SUCCESS | Shard: shards/shard_0.db | Value: 1590989101.0
12: SUCCESS | Shard: shards/shard_0.db | Value: 3144785495.0
13: SUCCESS | Shard: shards/shard_2.db | Value: 5430.475
14: SUCCESS | Shard: shards/shard_2.db | Value: 8334.1708
15: SUCCESS | Shard: shards/shard_3.db | Value: 8448.6185
16: SUCCESS | Shard: shards/shard_3.db | Value: 8290.768
17: SUCCESS | Shard: shards/shard_0.db | Value: 1061949840.0
18: SUCCESS | Shard: shards/shard_2.db | Value: 8784.9089
19: SUCCESS | Shard: shards/shard_1.db | Value: 2740270341.0
20: SUCCESS | Shard: shards/shard_1.db | Value: 450884798.0
21: SUCCESS | Shard: shards/shard_1.db | Value: 4176050763.0
22: SUCCESS | Shard: shards/shard_1.db | Value: 1247144509.0
23: SUCCESS | Shard: shards/shard_0.db | Value: 3065130723.0
24: SUCCESS | Shard: shards/shard_2.db | Value: 5895.8401
25: SUCCESS | Shard: shards/shard_2.db | Value: 3448.9292
26: SUCCESS | Shard: shards/shard_2.db | Value: 4156.4171
27: SUCCESS | Shard: shards/shard_3.db | Value: 5244.3877
28: SUCCESS | Shard: shards/shard_2.db | Value: 2601.367
29: SUCCESS | Shard: shards/shard_2.db | Value: 2995.4866
30: SUCCESS | Shard: shards/shard_2.db | Value: 7094.6707
31: SUCCESS | Shard: shards/shard_1.db | Value: 3265621459.0
32: SUCCESS | Shard: shards/shard_0.db | Value: 3916166348.0
33: SUCCESS | Shard: shards/shard_0.db | Value: 1202999767.0
34: SUCCESS | Shard: shards/shard_3.db | Value: 593.1051
35: SUCCESS | Shard: shards/shard_0.db | Value: 2691124462.0
36: SUCCESS | Shard: shards/shard_2.db | Value: 4572.2023
37: SUCCESS | Shard: shards/shard_0.db | Value: 2806263135.0
38: SUCCESS | Shard: shards/shard_3.db | Value: 7343.6643
39: SUCCESS | Shard: shards/shard_3.db | Value: 837.8591
40: SUCCESS | Shard: shards/shard_0.db | Value: 1175991472.0
41: SUCCESS | Shard: shards/shard_0.db | Value: 331061729.0
42: SUCCESS | Shard: shards/shard_2.db | Value: 2936.2292
43: SUCCESS | Shard: shards/shard_1.db | Value: 3857532411.0
44: SUCCESS | Shard: shards/shard_1.db | Value: 4087033810.0
45: SUCCESS | Shard: shards/shard_1.db | Value: 38421184.0
46: SUCCESS | Shard: shards/shard_0.db | Value: 1955443978.0
47: SUCCESS | Shard: shards/shard_0.db | Value: 1981369903.0
48: SUCCESS | Shard: shards/shard_3.db | Value: 4455.7105
49: SUCCESS | Shard: shards/shard_2.db | Value: 1351.3764
50: SUCCESS | Shard: shards/shard_3.db | Value: 9937.038
51: SUCCESS | Shard: shards/shard_2.db | Value: 5285.7684
52: SUCCESS | Shard: shards/shard_1.db | Value: 2172732235.0
53: SUCCESS | Shard: shards/shard_3.db | Value: 8421.2283
54: SUCCESS | Shard: shards/shard_3.db | Value: 4260.0368
55: SUCCESS | Shard: shards/shard_0.db | Value: 2537646282.0
56: SUCCESS | Shard: shards/shard_1.db | Value: 2144709776.0
57: SUCCESS | Shard: shards/shard_2.db | Value: 9124.1718
58: SUCCESS | Shard: shards/shard_3.db | Value: 3253.2395
59: SUCCESS | Shard: shards/shard_0.db | Value: 3394870891.0
60: SUCCESS | Shard: shards/shard_2.db | Value: 4260.5114
61: SUCCESS | Shard: shards/shard_1.db | Value: 3441393891.0
62: SUCCESS | Shard: shards/shard_1.db | Value: 283287164.0
63: SUCCESS | Shard: shards/shard_1.db | Value: 3432517464.0
