0: FAIL | Status: 503 | Detail: Shard 1 is empty.
1: FAIL | Status: 503 | Detail: Shard 3 is empty.
3: FAIL | Status: 503 | Detail: Shard 1 is empty.
2: FAIL | Status: 503 | Detail: Shard 1 is empty.
4: FAIL | Status: 503 | Detail: Shard 3 is empty.
6: FAIL | Status: 503 | Detail: Shard 1 is empty.
5: FAIL | Status: 503 | Detail: Shard 3 is empty.
7: FAIL | Status: 503 | Detail: Shard 1 is empty.
8: FAIL | Status: 503 | Detail: Shard 2 is empty.
9: FAIL | Status: 503 | Detail: Shard 2 is empty.
10: FAIL | Status: 503 | Detail: Shard 1 is empty.
12: FAIL | Status: 503 | Detail: Shard 3 is empty.
11: FAIL | Status: 503 | Detail: Shard 0 is empty.
13: FAIL | Status: 503 | Detail: Shard 0 is empty.
14: FAIL | Status: 503 | Detail: Shard 0 is empty.
15: FAIL | Status: 503 | Detail: Shard 1 is empty.
16: FAIL | Status: 503 | Detail: Shard 2 is empty.
17: FAIL | Status: 503 | Detail: Shard 2 is empty.
18: FAIL | Status: 503 | Detail: Shard 3 is empty.
19: FAIL | Status: 503 | Detail: Shard 2 is empty.
20: FAIL | Status: 503 | Detail: Shard 1 is empty.
21: FAIL | Status: 503 | Detail: Shard 1 is empty.
22: FAIL | Status: 503 | Detail: Shard 3 is empty.
23: FAIL | Status: 503 | Detail: Shard 0 is empty.
24: FAIL | Status: 503 | Detail: Shard 1 is empty.
25: FAIL | Status: 503 | Detail: Shard 3 is empty.
26: FAIL | Status: 503 | Detail: Shard 1 is empty.
27: FAIL | Status: 503 | Detail: Shard 3 is empty.
28: FAIL | Status: 503 | Detail: Shard 1 is empty.
30: FAIL | Status: 503 | Detail: Shard 2 is empty.
31: FAIL | Status: 503 | Detail: Shard 1 is empty.
29: FAIL | Status: 503 | Detail: Shard 3 is empty.
33: FAIL | Status: 503 | Detail: Shard 3 is empty.
32: FAIL | Status: 503 | Detail: Shard 1 is empty.
34: FAIL | Status: 503 | Detail: Shard 1 is empty.
37: FAIL | Status: 503 | Detail: Shard 2 is empty.
38: FAIL | Status: 503 | Detail: Shard 2 is empty.
35: FAIL | Status: 503 | Detail: Shard 0 is empty.
36: FAIL | Status: 503 | Detail: Shard 2 is empty.
40: FAIL | Status: 503 | Detail: Shard 2 is empty.
